genres,app_name,specs,price,early_access,sentiment,metascore,year,genres_encoded
Indie,Defense Grid: The Awakening,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",9.99,False,Overwhelmingly Positive,81.0,2008,4
Action,F.E.A.R. 2: Project Origin,"['Single-player', 'Multi-player']",14.99,False,Very Positive,79.0,2009,0
Action,Larva Mortus,"['Single-player', 'Steam Achievements']",4.99,False,Mostly Positive,64.0,2009,0
Strategy,Knights of Honor,"['Single-player', 'Multi-player']",9.99,False,Very Positive,77.0,2005,10
Action,Ceville,['Single-player'],5.99,False,Very Positive,73.0,2009,0
Action,Watchmen: The End is Nigh,"['Single-player', 'Multi-player', 'Shared/Split Screen']",4.99,False,Mixed,61.0,2009,0
Action,Penumbra Overture,"['Single-player', 'Captions available']",9.99,False,Very Positive,73.0,2007,0
Action,Unreal Tournament 3 Black,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",19.99,False,Very Positive,83.0,2007,0
RPG,Drakensang,['Single-player'],9.99,False,Very Positive,75.0,2009,6
Racing,Burnout Paradise: The Ultimate Box,"['Single-player', 'Multi-player']",19.99,False,Very Positive,87.0,2009,7
Action,The Maw,"['Single-player', 'Steam Achievements']",9.99,False,Very Positive,75.0,2009,0
RPG,Guild Wars Nightfall,"['Multi-player', 'MMO']",19.99,False,,84.0,2006,6
RPG,Guild Wars,"['Multi-player', 'MMO']",19.99,False,6 user reviews,89.0,2005,6
RPG,Guild Wars Factions,"['Multi-player', 'MMO']",19.99,False,,84.0,2006,6
RPG,Two Worlds Epic Edition,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,Mostly Positive,65.0,2009,6
Strategy,Helldorado,['Single-player'],9.99,False,Mixed,65.0,2009,10
Action,X-Blades,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,Mixed,54.0,2009,0
Action,Zeno Clash,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Very Positive,77.0,2009,0
RPG,King's Bounty: The Legend,"['Single-player', 'Steam Cloud']",6.99,False,Very Positive,79.0,2008,6
Racing,Death Track®: Resurrection,"['Single-player', 'Steam Cloud']",2.99,False,Mixed,53.0,2009,7
RPG,Freedom Force,"['Single-player', 'Multi-player']",4.99,False,Mixed,90.0,2002,6
Indie,Light of Altair,"['Single-player', 'Steam Achievements']",14.99,False,Positive,66.0,2009,4
Action,Prototype™,['Single-player'],19.99,False,Very Positive,79.0,2009,0
Adventure,Blueberry Garden,['Single-player'],4.99,False,Mostly Positive,68.0,2009,1
Strategy,Port Royale 2,['Single-player'],4.99,False,Mixed,75.0,2004,10
nan,Call of Cthulhu®: Dark Corners of the Earth,['Single-player'],4.99,False,Mostly Positive,76.0,2006,11
RPG,The Elder Scrolls IV: Oblivion® Game of the Year Edition,"['Single-player', 'Steam Cloud']",14.99,False,Very Positive,94.0,2007,6
RPG,The Elder Scrolls III: Morrowind® Game of the Year Edition,"['Single-player', 'Steam Cloud']",14.99,False,Very Positive,89.0,2002,6
nan,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,"['Single-player', 'Steam Cloud']",19.99,False,Very Positive,94.0,2009,11
Action,Call of Juarez®: Bound in Blood,['Single-player'],9.99,False,Very Positive,78.0,2009,0
Adventure,Nancy Drew®: Legend of the Crystal Skull,['Single-player'],6.99,False,Positive,79.0,2007,1
Adventure,Nancy Drew®: The Creature of Kapu Cave,['Single-player'],6.99,False,Positive,68.0,2006,1
Adventure,Nancy Drew®: The Phantom of Venice,['Single-player'],6.99,False,Positive,69.0,2008,1
Adventure,Nancy Drew®: The White Wolf of Icicle Creek,['Single-player'],6.99,False,Positive,73.0,2007,1
Adventure,Tales of Monkey Island Complete Pack,['Single-player'],19.99,False,Very Positive,79.0,2009,1
Action,Street Fighter® IV,"['Single-player', 'Multi-player', 'Partial Controller Support']",19.99,False,Mostly Positive,91.0,2009,0
Action,Thrillville®: Off the Rails™,"['Single-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",9.99,False,Very Positive,70.0,2007,0
Action,Armed and Dangerous®,"['Single-player', 'Steam Cloud']",5.99,False,Very Positive,78.0,2003,0
Action,"Star Wars: Battlefront 2 (Classic, 2005)","['Single-player', 'Partial Controller Support', 'Steam Cloud']",9.99,False,Very Positive,78.0,2005,0
Action,LEGO® Indiana Jones™: The Original Adventures,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",19.99,False,Mostly Positive,78.0,2008,0
Adventure,The Secret of Monkey Island: Special Edition,"['Single-player', 'Full controller support', 'Steam Cloud']",9.99,False,Overwhelmingly Positive,86.0,2009,1
Action,Clutch,['Single-player'],9.99,False,Mostly Positive,51.0,2009,0
Adventure,Nancy Drew®: Ransom of the Seven Ships,"['Single-player', 'Steam Achievements']",6.99,False,Mixed,78.0,2009,1
Action,TimeShift™,"['Single-player', 'Multi-player']",19.99,False,Mostly Positive,71.0,2007,0
Action,Bionic Commando: Rearmed,"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",9.99,False,Mostly Positive,86.0,2008,0
Action,Bionic Commando,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Steam Cloud']",9.99,False,Mostly Positive,69.0,2009,0
Action,Watchmen: The End is Nigh Part 2,"['Single-player', 'Co-op', 'Partial Controller Support']",4.99,False,Mixed,44.0,2009,0
Indie,Osmos,"['Single-player', 'Steam Achievements']",9.99,False,Very Positive,80.0,2009,4
RPG,Fallout 2: A Post Nuclear Role Playing Game,"['Single-player', 'Steam Cloud']",9.99,False,Very Positive,86.0,1998,6
Strategy,Fallout Tactics: Brotherhood of Steel,"['Single-player', 'Multi-player', 'Steam Cloud']",9.99,False,Very Positive,82.0,2001,10
nan,Sacrifice,['Single-player'],9.99,False,Very Positive,89.0,2000,11
Adventure,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",['Single-player'],4.99,False,Very Positive,84.0,2009,1
Action,Tom Clancy's Splinter Cell Chaos Theory®,['Single-player'],9.99,False,Very Positive,92.0,2005,0
Action,Mini Ninjas,['Single-player'],9.99,False,Very Positive,74.0,2009,0
RPG,Risen,"['Single-player', 'Steam Trading Cards']",9.99,False,Very Positive,77.0,2009,6
Adventure,Machinarium,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Overwhelmingly Positive,85.0,2009,1
Action,Medal of Honor: Airborne,"['Single-player', 'Multi-player']",9.99,False,Mostly Positive,78.0,2007,0
Racing,Need for Speed: Shift,"['Single-player', 'Multi-player']",19.99,False,Mostly Positive,83.0,2009,7
RPG,Torchlight,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Includes level editor']",14.99,False,Very Positive,83.0,2009,6
Strategy,East India Company: Privateer,"['Single-player', 'Downloadable Content']",4.99,False,1 user reviews,63.0,2009,10
Action,Painkiller: Resurrection,"['Single-player', 'Multi-player']",9.99,False,Mostly Negative,38.0,2009,0
RPG,SpellForce 2 - Anniversary Edition,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Steam Cloud', 'Includes level editor']",14.99,False,Mostly Positive,80.0,2009,6
Strategy,Rush for Berlin Gold,"['Single-player', 'Multi-player']",4.99,False,Very Positive,76.0,2009,10
Strategy,Men of War: Red Tide,"['Single-player', 'Steam Cloud']",4.99,False,Very Positive,77.0,2009,10
Action,SpellForce - Platinum Edition,['Single-player'],9.99,False,Very Positive,74.0,2009,0
Strategy,Massive Assault,['Single-player'],9.99,False,9 user reviews,77.0,2003,10
nan,Nancy Drew® Dossier: Resorting to Danger!,['Single-player'],6.99,False,Mostly Positive,77.0,2009,11
Action,Serious Sam HD: The First Encounter,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",14.99,False,Very Positive,68.0,2009,0
Adventure,Secret Files 2: Puritas Cordis,['Single-player'],9.99,False,Mostly Positive,64.0,2009,1
RPG,Dragon Age: Origins,['Single-player'],19.99,False,Very Positive,91.0,2009,6
Action,Call of Duty®: Modern Warfare® 2,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']",19.99,False,Very Positive,86.0,2009,0
Adventure,LEGO® Star Wars™ - The Complete Saga,"['Single-player', 'Shared/Split Screen', 'Full controller support', 'Steam Cloud']",19.99,False,Very Positive,77.0,2009,1
RPG,Overlord™,"['Single-player', 'Partial Controller Support']",4.99,False,Very Positive,81.0,2007,6
Strategy,Command & Conquer 3: Tiberium Wars,['Single-player'],14.99,False,Very Positive,85.0,2007,10
Strategy,Command & Conquer 3: Kane's Wrath,"['Single-player', 'Multi-player']",19.99,False,Very Positive,77.0,2009,10
Indie,Gratuitous Space Battles,"['Single-player', 'Multi-player', 'Steam Trading Cards']",14.99,False,Very Positive,72.0,2009,4
Simulation,Wings of Prey,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",9.99,False,Mixed,78.0,2009,8
Action,The Bard's Tale,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,Very Positive,70.0,2005,0
Action,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,"['Single-player', 'Partial Controller Support', 'Steam Cloud']",19.99,False,Mixed,65.0,2009,0
nan,Europa Universalis III: Heir to the Throne,"['Single-player', 'Multi-player', 'Downloadable Content']",9.99,False,Positive,86.0,2009,11
RPG,Fallout 3: Game of the Year Edition,['Single-player'],19.99,False,Very Positive,91.0,2009,6
Casual,Roogoo,"['Single-player', 'Multi-player']",1.99,False,Mostly Positive,72.0,2009,2
Action,Devil May Cry 4,"['Single-player', 'Full controller support']",19.99,False,Very Positive,78.0,2008,0
Action,Avencast: Rise of the Mage,['Single-player'],9.99,False,Mixed,68.0,2010,0
Strategy,UFO: Extraterrestrials Gold,['Single-player'],9.99,False,Mostly Positive,68.0,2010,10
Adventure,LEGO® Indiana Jones™ 2: The Adventure Continues,"['Single-player', 'Shared/Split Screen']",19.99,False,Mostly Positive,66.0,2010,1
Action,Serious Sam Classic: The First Encounter,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Includes level editor']",9.99,False,Overwhelmingly Positive,87.0,2001,0
Action,Mount & Blade: Warband,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']",19.99,False,Overwhelmingly Positive,78.0,2010,0
Action,Plain Sight,"['Multi-player', 'Steam Achievements', 'Steam Leaderboards']",4.99,False,Mixed,76.0,2010,0
Action,Lead and Gold: Gangs of the Wild West,"['Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",9.99,False,Mostly Positive,70.0,2010,0
Action,Beat Hazard,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Overwhelmingly Positive,70.0,2010,0
Simulation,M.U.D. TV,['Single-player'],9.99,False,Mostly Negative,53.0,2010,8
Adventure,The Misadventures of P.B. Winterbottom,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",4.99,False,Very Positive,79.0,2010,1
Action,AquaNox 2: Revelation,['Single-player'],4.99,False,Mostly Positive,59.0,2003,0
Action,AquaNox,"['Single-player', 'Multi-player']",4.99,False,Mostly Positive,67.0,2001,0
Action,Rocket Knight,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",14.99,False,Mostly Positive,63.0,2010,0
Action,Alpha Protocol™,['Single-player'],14.99,False,Very Positive,72.0,2010,0
Action,Alien Breed: Impact,"['Single-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support']",9.99,False,Mostly Positive,64.0,2010,0
Strategy,Disciples III - Renaissance Steam Special Edition,"['Single-player', 'Multi-player', 'Steam Achievements']",14.99,False,Mixed,56.0,2010,10
Casual,Tidalis,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Includes level editor']",4.99,False,Mostly Positive,75.0,2010,2
Action,Razor2: Hidden Skies,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",9.99,False,Mostly Negative,61.0,2010,0
Action,Kane & Lynch 2: Dog Days,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Leaderboards']",9.99,False,Mixed,66.0,2010,0
Simulation,The Guild II Renaissance,['Single-player'],9.99,False,Very Positive,56.0,2010,8
Strategy,Fantasy Wars,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",4.99,False,Very Positive,67.0,2010,10
Action,Mafia II,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",29.99,False,Very Positive,77.0,2011,0
RPG,Puzzle Quest 2,"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats']",9.99,False,Very Positive,83.0,2010,6
Action,Burn Zombie Burn!,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Mixed,72.0,2010,0
Simulation,Ship Simulator Extremes,"['Single-player', 'Multi-player']",19.99,False,Mixed,49.0,2010,8
Strategy,Worms Reloaded,"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",19.99,False,Very Positive,79.0,2010,10
Indie,Making History II: The War of the World,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",14.99,False,Mostly Positive,38.0,2010,4
Strategy,Victoria II,"['Single-player', 'Multi-player', 'Steam Trading Cards']",19.99,False,Very Positive,75.0,2010,10
Strategy,Cossacks: Back to War,"['Single-player', 'Multi-player']",4.99,False,Very Positive,60.0,2002,10
Action,VVVVVV,"['Single-player', 'Full controller support']",4.99,False,Overwhelmingly Positive,81.0,2010,0
Action,Amnesia: The Dark Descent,"['Single-player', 'Full controller support', 'Captions available', 'Commentary available']",19.99,False,Overwhelmingly Positive,85.0,2010,0
RPG,Recettear: An Item Shop's Tale,"['Single-player', 'Partial Controller Support']",19.99,False,Overwhelmingly Positive,82.0,2010,6
Strategy,Patrician IV - Steam Special Edition,['Single-player'],14.99,False,Mixed,66.0,2010,10
RPG,King's Bounty: Crossworlds,"['Single-player', 'Steam Cloud', 'Includes level editor']",14.99,False,Very Positive,78.0,2010,6
Strategy,Sid Meier's Civilization® V,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",29.99,False,Overwhelmingly Positive,90.0,2010,10
Action,Serious Sam Classic: The Second Encounter,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Includes level editor']",9.99,False,Overwhelmingly Positive,85.0,2002,0
Action,Blade Kitten,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",2.99,False,Very Positive,52.0,2010,0
Action,Alien Breed 2: Assault,"['Single-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']",9.99,False,Mostly Positive,63.0,2010,0
Action,Darksiders™,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",19.99,False,Very Positive,83.0,2010,0
Simulation,X: Beyond the Frontier,"['Single-player', 'Steam Cloud']",4.99,False,Mostly Positive,67.0,1999,8
Strategy,The Kings' Crusade,"['Single-player', 'Multi-player']",9.99,False,Mixed,71.0,2010,10
Action,Guild Wars: Eye of the North®,"['Single-player', 'Multi-player', 'MMO', 'Co-op']",19.99,False,1 user reviews,79.0,2007,0
RPG,Age of Wonders II: The Wizard's Throne,"['Single-player', 'Multi-player']",9.99,False,Mostly Positive,86.0,2010,6
RPG,Age of Wonders Shadow Magic,"['Single-player', 'Multi-player']",9.99,False,Very Positive,82.0,2010,6
Action,Medal of Honor™,"['Single-player', 'Multi-player']",19.99,False,Mostly Positive,72.0,2010,0
Indie,Grotesque Tactics: Evil Heroes,"['Single-player', 'Steam Achievements']",9.99,False,Mixed,65.0,2010,4
Action,Lost Planet® 2,"['Single-player', 'Multi-player', 'Co-op', 'Partial Controller Support']",19.99,False,Mixed,63.0,2010,0
Adventure,Doc Clock: The Toasted Sandwich of Time,"['Single-player', 'Steam Achievements']",4.99,False,Mostly Negative,62.0,2010,1
Action,Fallout: New Vegas,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",9.99,False,Overwhelmingly Positive,84.0,2010,0
Indie,Nimbus,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",9.99,False,Very Positive,80.0,2010,4
Action,DeathSpank,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",14.99,False,Very Positive,77.0,2010,0
Action,Shank,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",9.99,False,Very Positive,67.0,2010,0
Action,The Ball,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']",9.99,False,Mostly Positive,68.0,2010,0
Action,STAR WARS™: The Force Unleashed™ II,"['Single-player', 'Partial Controller Support', 'Steam Cloud']",19.99,False,Mixed,59.0,2010,0
RPG,Patrician III,['Single-player'],4.99,False,Mostly Positive,75.0,2010,6
Adventure,Alternativa,"['Single-player', 'Steam Cloud']",12.99,False,Mixed,63.0,2010,1
