genres,app_name,specs,price,early_access,sentiment,metascore,publisher_encoded,app_name_encoded,title_encoded,url_encoded,developer_encoded,sentiment_encoded,genres_encoded,tags_encoded,reviews_url_encoded,specs_encoded,year
Strategy,Sid Meier's Railroads!,Single,9.99,False,Mixed,77.0,63,23883,22479,31542,3378,9,18,171,31540,17,2006
nan,Unknown,nan,19.99,False,Unknown,0.0,7288,29549,27768,0,9767,14,22,197,0,22,1999
Strategy,Railroad Tycoon II Platinum,Single,4.99,False,Very,89.0,57,20487,19199,31596,7220,15,18,171,31594,17,1998
Casual,RIP - Trilogy™,Single,4.99,False,Mixed,0.0,7288,20101,18827,2841,2997,9,5,86,2840,17,2007
Strategy,X-COM: Terror From the Deep,Single,4.99,False,Very,0.0,57,31174,29190,31677,5935,15,18,171,31675,17,1995
Action,Tomb Raider: Anniversary,Single,8.99,False,Very,83.0,6491,28321,26601,31907,2157,15,1,5,31905,17,2007
Action,Devil May Cry® 3 Special Edition,Single,19.99,False,Mixed,66.0,1250,6820,6377,26782,1541,9,1,5,26780,17,2006
Action,Sam & Max 101: Culture Shock,Single,19.99,False,Very,0.0,6865,23232,21855,31925,9190,15,1,127,31923,17,2006
Action,Final DOOM,Single,4.99,False,Very,0.0,7989,10249,9630,1954,10686,15,1,57,1953,17,1996
Indie,Vigil: Blood Bitterness™,Single,0.0,False,Very,61.0,7288,29962,28065,2939,3555,15,10,86,2938,17,2007
Action,Sam & Max 102: Situation: Comedy,Single,19.99,False,Positive,0.0,6865,23233,21856,31926,9190,13,1,6,31924,17,2006
Action,Ultimate Doom,Single,4.99,False,Very,0.0,7989,29413,27643,1940,10686,15,1,31,1939,17,1995
Action,Master Levels for Doom II,Single,14.99,False,Very,0.0,7989,16146,15143,31995,10686,15,1,5,31993,17,1995
Action,DOOM II,Single,4.99,False,Very,83.0,7989,5979,5588,1989,10686,15,1,31,1988,17,1994
Action,Wolfenstein 3D,Single,4.99,False,Very,0.0,7989,30977,29002,1908,10686,15,1,57,1907,17,1994
Action,Return to Castle Wolfenstein,Single,4.99,False,Very,88.0,7989,20940,19621,31962,3982,15,1,57,31960,17,2001
Action,QUAKE Mission Pack 1: Scourge of Armagon,Single,2.99,False,Very,0.0,7989,19891,18635,31984,7753,15,1,5,31982,17,1997
Action,Spear of Destiny,Single,2.99,False,Very,0.0,7989,24749,23255,31957,10686,15,1,5,31955,17,1993
Action,BloodRayne,Single,9.99,False,Mostly,65.0,4234,3145,2946,10569,9206,10,1,5,10568,17,2003
Action,QUAKE Mission Pack 2: Dissolution of Eternity,Single,2.99,False,Very,0.0,7989,19892,18636,31983,7829,15,1,5,31981,17,2007
Action,QUAKE,Single,4.99,False,Overwhelmingly,94.0,7989,19886,18630,2024,10686,12,1,57,2023,17,2007
Strategy,Genesis Rising,Single,4.99,False,Mostly,57.0,6755,11396,10722,6421,5890,10,18,171,6420,17,2007
Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",Single,12.99,False,Very,0.0,5955,30473,28529,32024,7643,15,18,171,32022,17,2006
Action,BioShock™,Single,19.99,False,Very,96.0,57,2862,2681,31744,67,15,1,57,31742,17,2007
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Single,12.99,False,Overwhelmingly,86.0,5955,30470,28526,15617,7643,12,18,171,15616,17,2006
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",Single,12.99,False,Overwhelmingly,87.0,5955,30469,28525,15710,7643,12,18,171,15709,17,2006
Strategy,Rome: Total War™ - Collection,Single,9.99,False,Very,92.0,5955,22692,21344,16702,9244,15,18,171,16701,17,2004
Strategy,Rome: Total War™ - Alexander,Single,4.99,False,Mostly,79.0,5955,22691,21343,16759,9244,10,18,171,16758,17,2006
Casual,Mystery Case Files: Madame Fate®,Single,6.99,False,Mostly,0.0,857,17126,16049,18559,1114,10,5,26,18558,17,2007
Action,Grand Theft Auto,Single,0.0,False,Very,0.0,5858,11785,11082,161,7808,15,1,5,161,17,1998
Action,Grand Theft Auto 2,Single,0.0,False,Very,0.0,5858,11786,11083,162,7808,15,1,5,162,17,1999
Action,Manhunt,Single,9.99,False,Mixed,75.0,5858,15979,14987,157,7808,9,1,73,157,17,2004
Racing,Midnight Club 2,Single,9.99,False,Very,81.0,5858,16506,15473,160,7811,15,14,139,160,17,2003
Action,Max Payne 2: The Fall of Max Payne,Single,9.99,False,Very,86.0,5858,16187,15181,159,7657,15,1,114,159,17,2003
Action,Tomb Raider: Legend,Single,6.99,False,Very,82.0,6488,28331,26611,28986,2155,15,1,6,28984,17,2006
Action,Max Payne,Single,9.99,False,Very,89.0,5858,16186,15180,158,7657,15,1,114,158,17,2001
Strategy,Command & Conquer: Red Alert 3,Single,19.99,False,Very,82.0,2199,5090,4746,313,2858,15,18,171,313,17,2008
Casual,PuzzleQuest: Challenge of the Warlords,Single,9.99,False,Very,84.0,1665,19863,18612,180,4552,15,5,133,180,17,2007
RPG,Culpa Innata,Single,9.99,False,Very,66.0,6588,5692,5316,166,6078,15,13,6,166,17,2007
Strategy,Prison Tycoon 3™: Lockdown,Single,9.99,False,Very,0.0,7344,19567,18335,181,3764,15,18,171,181,17,2007
Action,Hunting Unlimited™ 2008,Single,9.99,False,Mostly,0.0,7344,13122,12319,183,7937,10,1,5,183,17,2007
Racing,18 Wheels of Steel: American Long Haul,Single,9.99,False,Mostly,0.0,7344,93,88,182,7937,10,14,155,182,17,2007
Action,Conflict: Denied Ops,Single,5.99,False,Mixed,58.0,6488,5178,4832,31921,7051,9,1,5,31919,17,2008
Action,ARMA: Combat Operations,Single,7.99,False,Mixed,74.0,1025,581,540,4027,1340,9,1,5,4026,17,2007
Simulation,Tycoon City: New York,Single,9.99,False,Mostly,67.0,5760,29296,27533,32064,9767,10,15,155,32062,17,2006
Action,Desperados 2: Cooper's Revenge,Single,9.99,False,Mixed,66.0,6755,6763,6324,32056,8590,9,1,5,32054,17,2006
Action,Death to Spies,Single,4.99,False,Mostly,69.0,27,6468,6047,32098,4093,10,1,167,32096,17,2007
Action,Act of War: High Treason,Single,2.99,False,Very,74.0,617,741,688,32097,3123,15,1,5,32095,17,2006
Simulation,RollerCoaster Tycoon® 3: Platinum,Single,19.99,False,Very,81.0,618,22660,21318,3643,3593,15,15,155,3642,17,2006
Action,Act of War: Direct Action,Single,2.99,False,Very,82.0,617,740,687,3686,3123,15,1,5,3685,17,2005
Action,Unreal 2: The Awakening,Single,14.99,False,Mostly,75.0,2268,29569,27786,208,3077,10,1,5,208,17,2003
Action,Unreal Gold,Single,9.99,False,Overwhelmingly,0.0,2268,29571,27788,212,3077,12,1,31,212,17,1998
Casual,Ninja Reflex: Steamworks Edition,Single,4.99,False,Positive,57.0,4905,17678,16576,207,8064,13,5,86,207,17,2008
Action,Tom Clancy's Splinter Cell®,Single,9.99,False,Very,91.0,7254,28287,26567,217,9696,15,1,167,217,17,2003
Action,Far Cry®,Single,9.99,False,Very,89.0,7254,10018,9408,214,2165,15,1,57,214,17,2004
Action,Unreal Tournament: Game of the Year Edition,Single,9.99,False,Overwhelmingly,92.0,2268,29574,27791,211,3077,12,1,31,211,17,2000
Action,Tom Clancy's Rainbow Six® Vegas,Single,9.99,False,Mostly,85.0,7254,28280,26560,216,9706,10,1,5,216,17,2006
Simulation,Silent Hunter® III,Single,9.99,False,Very,90.0,7254,23918,22510,235,9696,15,15,155,235,17,2005
Casual,Virtual Villagers - The Secret City,Single,9.99,False,Positive,0.0,3928,30038,28124,274,5289,13,5,26,274,17,2008
Casual,Mystery P.I.™ - The Vegas Heist,Single,4.99,False,9,0.0,5413,17145,16068,8564,8619,8,5,26,8563,17,2008
Casual,Luxor,Single,9.99,False,Mixed,0.0,4584,15421,14457,262,6157,9,5,26,262,17,2008
Casual,Reaxxion,Single,9.99,False,Mostly,0.0,4584,20626,19328,260,6157,10,5,26,260,17,2008
Casual,Little Farm,Single,9.99,False,Mostly,0.0,4584,15121,14178,261,6157,10,5,26,261,17,2008
Casual,7 Wonders II,Single,9.99,False,Positive,0.0,4584,245,231,256,6157,13,5,26,256,17,2008
Casual,Luxor Amun Rising,Single,9.99,False,8,0.0,4584,15425,14461,257,6157,7,5,26,257,17,2005
Casual,Luxor 3,Single,9.99,False,Positive,0.0,4584,15424,14460,259,6157,13,5,26,259,17,2007
Simulation,Petz® Horsez® 2,Single,9.99,False,Mixed,0.0,7254,18864,17688,230,9696,9,15,155,230,17,2007
Casual,Luxor 2,Single,9.99,False,Mixed,0.0,4584,15422,14458,258,6157,9,5,26,258,17,2005
Action,Rayman Raving Rabbids™,Single,9.99,False,Mostly,58.0,7254,20554,19262,225,9703,10,1,6,225,17,2007
Simulation,Silent Hunter®: Wolves of the Pacific,Single,9.99,False,Mixed,79.0,7254,23919,22511,234,9718,9,15,155,234,17,2007
Simulation,IL-2 Sturmovik: 1946,Single,9.99,False,Very,86.0,32,13285,12473,241,34,15,15,155,241,17,2006
Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,Single,9.99,False,Very,0.0,7254,23920,22512,236,9718,15,15,155,236,17,2008
Adventure,Bone: Out From Boneville,Single,9.99,False,Mixed,68.0,6865,3271,3061,31936,9190,9,2,6,31934,17,2005
Racing,Midnight Outlaw: 6 Hours to SunUp,Single,9.99,False,Negative,0.0,7344,16512,15479,191,5883,11,14,139,191,17,2005
Adventure,Bone: The Great Cow Race,Single,9.99,False,Mixed,76.0,6865,3272,3062,31937,9190,9,2,6,31935,17,2006
Racing,Sprint Cars Road to Knoxville,Single,9.99,False,Mixed,0.0,7344,24895,23388,190,1126,9,14,139,190,17,2008
nan,Dr. Daisy Pet Vet,Single,9.99,False,3,0.0,7343,7268,6787,189,10464,2,22,26,189,17,2008
Simulation,Ride! Carnival Tycoon,Single,9.99,False,Mixed,0.0,7344,21035,19709,186,3705,9,15,155,186,17,2007
nan,Hot Dish,Single,9.99,False,4,0.0,7343,13007,12218,188,10464,3,22,26,188,17,2008
Casual,Mahjongg Investigations: Under Suspicion,Single,9.99,False,7,0.0,7344,15902,14914,184,10464,6,5,26,184,17,2007
Adventure,Dracula Origin,Single,9.99,False,Mixed,70.0,2642,7281,6799,87,3581,9,2,6,87,17,2008
Sports,Beijing 2008™ - The Official Video Game of the Olympic Games,Single,0.0,False,Unknown,0.0,5955,2742,2570,42,3126,14,17,165,42,17,2008
Adventure,Sherlock Holmes - Nemesis,Single,9.99,False,Mostly,71.0,2642,23739,22344,85,3581,10,2,6,85,17,2008
Adventure,Eternity's Child,Single,4.99,False,Negative,0.0,6241,8347,7771,359,5520,11,2,86,359,17,2008
Simulation,Pacific Storm Allies,Single,7.99,False,Mixed,60.0,1136,18588,17433,120,5355,9,15,155,120,17,2007
Action,Tank Universal,Single,4.99,False,Mixed,0.0,4372,26483,24893,356,2574,9,1,5,356,17,2008
Racing,FlatOut: Ultimate Carnage,Single,19.99,False,Very,79.0,6588,10396,9765,170,1474,15,14,139,170,17,2008
Adventure,Oddworld: Abe's Exoddus®,Single,2.99,False,Very,0.0,4952,17941,16820,252,6626,15,2,6,252,17,1998
Adventure,Oddworld: Abe's Oddysee®,Single,2.99,False,Very,0.0,4952,17943,16822,251,6626,15,2,126,251,17,1997
Racing,GTR Evolution Expansion Pack for RACE 07,Single,7.99,False,Positive,83.0,6247,11119,10456,31944,8315,13,14,139,31942,17,2008
Strategy,X-COM: Enforcer,Single,4.99,False,Mixed,65.0,57,31172,29188,31897,5935,9,18,171,31895,17,2001
Strategy,X-COM: Apocalypse,Single,4.99,False,Very,0.0,57,31171,29187,31707,5935,15,18,171,31705,17,1997
Strategy,X-COM: UFO Defense,Single,4.99,False,Overwhelmingly,0.0,57,31175,29191,31894,5935,12,18,171,31892,17,1993
Action,S.T.A.L.K.E.R.: Clear Sky,Single,9.99,False,Very,75.0,2735,22885,21523,587,3697,15,1,118,586,17,2008
Action,Crysis Warhead®,Single,19.99,False,Very,84.0,2199,5619,5251,305,2164,15,1,5,305,17,2008
Action,Crysis,Single,19.99,False,Very,91.0,2199,5617,5249,304,2164,15,1,57,304,17,2007
Strategy,X-COM: Interceptor,Single,4.99,False,Mixed,0.0,57,31173,29189,31861,5935,9,18,171,31859,17,1998
Action,The Witcher: Enhanced Edition Director's Cut,Single,9.99,False,Very,86.0,1189,27903,26215,923,1552,15,1,136,922,17,2008
Indie,Multiwinia,Single,9.99,False,Very,76.0,3469,16992,15925,238,4621,15,10,86,238,17,2008
Racing,STCC - The Game 1 - Expansion Pack for RACE 07,Single,2.99,False,Positive,0.0,6247,23043,21676,31945,8315,13,14,139,31943,17,2008
Strategy,Children of the Nile: Alexandria,Single,2.49,False,Positive,0.0,7036,4527,4220,301,9405,13,18,30,301,17,2008
Strategy,Sid Meier's Civilization IV: Colonization,Single,19.99,False,Mostly,83.0,57,23870,22466,288,3375,10,18,171,288,17,2008
Action,Tom Clancy's Rainbow Six® 3 Gold,Single,9.99,False,Very,85.0,7254,28234,26514,362,7603,15,1,173,362,17,2003
Action,LEGO Batman,Single,19.99,False,Very,80.0,7520,14561,13650,967,9552,15,1,91,966,17,2008
Simulation,City Life 2008,Single,9.99,False,Mixed,0.0,2563,4728,4413,14915,6100,9,15,155,14914,17,2008
RPG,Hinterland,Single,9.99,False,Mostly,65.0,7036,12841,12074,302,9405,10,13,136,302,17,2008
Action,Brothers in Arms: Hell's Highway™,Single,9.99,False,Very,79.0,7254,3587,3348,245,3833,15,1,5,245,17,2008
Indie,Gravitron 2,Single,4.99,False,Mixed,0.0,1740,11851,11146,1144,2363,9,10,10,1143,17,2008
Racing,Xpand Rally Xtreme,Single,4.99,False,Mixed,0.0,6855,31329,29340,5444,9176,9,14,139,5443,17,2006
Strategy,Heroes of Might & Magic V: Hammers of Fate,Single,9.99,False,Mostly,66.0,7254,12683,11925,244,6459,10,18,171,244,17,2006
Action,Brothers in Arms: Earned in Blood™,Single,9.99,False,Very,84.0,7254,3586,3347,360,3833,15,1,5,360,17,2005
Strategy,Heroes of Might & Magic V: Tribes of the East,Single,9.99,False,Very,70.0,7254,12684,11926,243,6459,15,18,171,243,17,2007
Strategy,The Settlers®: Rise Of An Empire Gold Edition,Single,19.99,False,Mostly,66.0,7254,27680,26012,364,1288,10,18,171,364,17,2008
Casual,Brain Spa,Single,9.99,False,4,0.0,7254,3448,3219,242,9696,3,5,26,242,17,2007
Action,The Sum of All Fears,Single,9.99,False,Positive,72.0,7254,27763,26089,361,7602,13,1,5,361,17,2002
Casual,Peggle™ Nights,Single,4.99,False,Very,76.0,5413,18806,17637,8679,7219,15,5,26,8678,17,2008
Indie,World of Goo,Single,9.99,False,Very,90.0,49,31059,29080,1484,56,15,10,133,1483,17,2008
Action,X3: Terran Conflict,Single,15.99,False,Very,73.0,2185,31256,29272,4184,2957,15,1,162,4183,17,2008
Action,Mare Nostrum,Multi,0.0,False,Very,0.0,7186,16035,15040,165,8059,15,1,5,165,12,2008
Casual,Spectraball,Single,4.99,False,Mostly,0.0,6201,24757,23262,332,8260,10,5,26,332,17,2008
Indie,Galactic Bowling,Single,19.99,False,Mixed,0.0,5195,11152,10487,439,6951,9,10,86,438,17,2008
Action,Bully: Scholarship Edition,Single,14.99,False,Very,72.0,5858,3645,3400,163,7807,15,1,118,163,17,2008
Action,Far Cry® 2: Fortune's Edition,Single,9.99,False,Mostly,85.0,7254,10019,9409,363,9706,10,1,118,363,17,2008
Action,Space Trader: Merchant Marine,Single,4.99,False,Mixed,0.0,4372,24682,23197,118,5879,9,1,5,118,17,2008
Simulation,PRR Wagon Pack 01,Single,4.99,False,2,0.0,2011,18568,17414,2920,7476,1,15,155,2919,17,2009
Simulation,"Class 421 London South East ""Jaffa Cake""",Single,4.99,False,3,0.0,2011,4807,4488,3898,7476,2,15,155,3897,17,2009
Simulation,ATSF Wagon Pack 01,Single,4.99,False,Unknown,0.0,2011,615,572,2919,7476,14,15,155,2918,17,2009
Simulation,GP20 Union Pacific Add-on Livery,Single,4.99,False,Unknown,0.0,2011,11075,10412,1670,7673,14,15,155,1669,17,2009
Simulation,UK Van Wagon Pack,Single,4.99,False,1,0.0,2011,29348,27585,2930,7476,0,15,155,2929,17,2009
Simulation,CSX SD70MAC Add-on Livery,Single,4.99,False,Unknown,0.0,2011,3856,3592,2938,2724,14,15,155,2937,17,2009
Simulation,CSX ES44AC Add-on Livery,Single,4.99,False,Unknown,0.0,2011,3855,3591,2937,2724,14,15,155,2936,17,2009
Action,Saints Row 2,Single,9.99,False,Mostly,72.0,1828,23156,21781,32043,10005,10,1,118,32041,17,2009
Action,Dead Space,Single,19.99,False,Very,86.0,2199,6400,5982,312,2859,15,1,82,312,17,2008
RPG,Rise of the Argonauts,Single,9.99,False,Mostly,59.0,1453,21120,19790,199,5426,10,13,136,199,17,2008
Action,Mirror's Edge™,Single,19.99,False,Very,81.0,2199,16672,15626,307,2257,15,1,120,307,17,2009
Indie,Defense Grid: The Awakening,Single,9.99,False,Overwhelmingly,81.0,3177,6572,6146,342,4247,12,10,177,342,17,2008
Action,F.E.A.R. 2: Project Origin,Single,14.99,False,Very,79.0,7520,8650,8061,280,6089,15,1,82,280,17,2009
Strategy,Harvest: Massive Encounter,Single,7.99,False,Mostly,0.0,5085,12401,11656,246,6796,10,18,171,246,17,2008
Indie,Mayhem Intergalactic,Single,9.99,False,Mostly,0.0,3470,16209,15202,349,4624,10,10,86,349,17,2007
Action,Larva Mortus,Single,4.99,False,Mostly,64.0,4372,14747,13831,126,5879,10,1,5,126,17,2009
Strategy,Knights of Honor,Single,9.99,False,Very,77.0,5139,14429,13532,3002,1210,15,18,171,3001,17,2005
Action,Ceville,Single,5.99,False,Very,73.0,601,4393,4099,2154,7555,15,1,6,2153,17,2009
Strategy,Empire: Total War™ - Special Forces Units & Bonus Content,Single,2.99,False,Positive,0.0,5958,8089,7533,50,9246,13,18,171,50,17,2009
Action,Watchmen: The End is Nigh,Single,4.99,False,Mixed,61.0,7520,30592,28643,1035,2459,9,1,5,1034,17,2009
Action,Penumbra Overture,Single,9.99,False,Very,73.0,2627,18817,17648,1543,3568,15,1,82,1542,17,2007
Action,Unreal Tournament 3 Black,Single,19.99,False,Very,83.0,2268,29573,27790,209,3077,15,1,57,209,17,2007
RPG,Drakensang,Single,9.99,False,Very,75.0,1692,7345,6857,193,7457,15,13,136,193,17,2009
Casual,Age of Booty™,Single,0.0,False,Mostly,0.0,1250,914,855,1332,1721,10,5,171,1331,17,2009
Indie,The Graveyard,Single,4.99,False,Mixed,0.0,6777,27128,25495,3655,9059,9,10,188,3654,17,2008
Racing,Burnout Paradise: The Ultimate Box,Single,19.99,False,Very,87.0,2199,3688,3443,2594,2125,15,14,139,2593,17,2009
